SD_Sub_System,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,PL_Punch_Category,PL_Punch_Description,PL_No
5000-01,PI,5000-01-PMC-15-480,PI_TP,C,(AP-5055) SHOULD BE INSTALLED BEFORE PRECOM,PL-00940
5000-01,PI,5000-01-PMC-15-480,PI_TP,C,(AP-5057) SHOULD BE INSTALLED BEFORE PRECOM,PL-00941
5000-01,PI,5000-01-PMC-15-480,PI_TP,C,(AP-5055) SHOULD BE INSTALLED BEFORE PRECOM,PL-00942
5000-01,PI,5000-01-PMC-15-480,PI_TP,C,(AP-5053) SHOULD BE INSTALLED BEFORE PRECOM,PL-00943
5000-01,PI,5000-01-PMC-15-480,PI_TP,C,FLUSH RING (5041) SHOULD BE INSTALLED BEFORE PRECOM,PL-00944
5000-01,PI,5000-01-PMC-15-480,PI_TP,C,(LT-5041) SHOULD BE INSTALLED BEFORE PRECOM,PL-00945
5000-01,PI,5000-01-PMC-19-484,PI_TP,C,ITEM 14 (TI-5097) SHALL BE ISTALLED BEFORE PRECOM,PL-00625
5000-01,PI,5000-01-PMC-19-484,PI_TP,C,ITEM 15 (AP-5098) SHALL BE ISTALLED BEFORE PRECOM,PL-00626
5000-01,PI,5000-01-PMC-19-484,PI_TP,C,ITEM 16 (PG-5099) SHALL BE ISTALLED BEFORE PRECOM,PL-00627
5000-01,PI,5000-01-PMC-19-484,PI_TP,C,ITEM 16 (PG-5103) SHALL BE ISTALLED BEFORE PRECOM,PL-00628
5000-01,PI,5000-01-PMC-19-484,PI_TP,C,THE BRANCH CONNECTION FROM THE STRAINER TO CLOSED DRAIN SHALL BE SEAL-WELDED,PL-14125
5000-01,PI,5000-01-PMC-20-537,PI_TP,C,"THE INSULATION KIT 4""-CL-150-RF MUST BE INSTALLED",PL-12195
5000-01,PI,5000-01-PMC-20-537,PI_TP,C,ALL TIE-IN JOINTS SHALL BE WORK AND NDT DONE AND REPORTED,PL-12196
5000-01,PI,5000-01-PMC-20-537,PI_TP,C,ALL TIE-IN JOINTS SHALL BE WORK AND NDT DONE AND REPORTED,PL-12197
5000-01,PI,5000-01-PMC-20-537,PI_TP,C,ALL VALVES SHALL BE LUBRICATED,PL-12198
